"MB10"	"MB21"	"MB33"
"MB01"	0.20855106888361	0.219810040705563	0.199903194578896
"MB02"	0.226933830382106	0.232198142414861	0.202247191011236
"MB03"	0.230385487528345	0.246086956521739	0.203089504770559
"MB04"	0.236396890717878	0.247598253275109	0.193577566711895
"MB05"	0.224057602710716	0.236489232019504	0.185480486781368
"MB06"	0.2255299954894	0.239740820734341	0.190839694656489
"MB07"	0.247404063205418	0.241379310344828	0.191169977924945
"MB08"	0.255896751223854	0.245812395309883	0.191443388072602
"MB09"	0.234858387799564	0.238391376451078	0.19559585492228
"MB10"	1	0.387596899224806	0.417813765182186
"MB13"	0.252108716026242	0.240667545015371	0.196420376319413
"MB14"	0.224178962398858	0.229138475417231	0.200670498084291
"MB15"	0.245346062052506	0.238565022421525	0.199434229137199
"MB16"	0.260057471264368	0.244523915958873	0.208097928436912
"MB17"	0.256641366223909	0.238726790450928	0.205223880597015
"MB19"	0.226726057906459	0.23021582733813	0.196706720071206
"MB20"	0.245344506517691	0.237636761487965	0.19560238204306
"MB21"	0.387596899224806	1	0.47027027027027
"MB22"	0.263229308005427	0.251486830926083	0.197016235190873
"MB24"	0.228245363766049	0.235772357723577	0.198476915754403
"MB25"	0.219874100719424	0.225834046193328	0.190647482014389
"MB30"	0.225081890500702	0.260118235561619	0.216873212583413
"MB31"	0.219325842696629	0.265342163355408	0.208029197080292
"MB33"	0.417813765182186	0.47027027027027	1
"MB34"	0.231185218566922	0.263134851138354	0.210621879255561
"MB39"	0.243792325056433	0.246463780540077	0.193433895297249
"MB40"	0.210699202252464	0.221179624664879	0.191943127962085
"MB43"	0.214088397790055	0.220472440944882	0.188539741219963
"MB46"	0.232285312060066	0.232372505543237	0.200093720712277
"MB47"	0.208278291501541	0.229626485568761	0.183826778612461
"MB48"	0.236533957845433	0.244097995545657	0.194895591647332
"MB49"	0.216193656093489	0.234702093397746	0.172910662824208
"MB50"	0.208942390369733	0.227743271221532	0.176949443016281
"MB51"	0.22202565236621	0.242437153813379	0.195921985815603
"MB52"	0.232150678931231	0.253062948880439	0.194782608695652
"MB53"	0.236637734125171	0.251093613298338	0.203644646924829
"MB54"	0.208281573498965	0.230861723446894	0.176980198019802
"MB55"	0.201853344077357	0.224043715846995	0.166733306677329
