"0.5"	"1"	"1.5"	"2"	"2.5"	"3"	"3.5"	"4"	"4.5"	"5"	"5.5"	"6"	"6.5"	"7"	"7.5"	"8"	"8.5"	"9"	"9.5"	"10"	"10.5"	"11"	"11.5"	"12"
"2897"	"3"	"19"	"22"	"44"	"62"	"105"	"100"	"107"	"31"	"145"	"16"	"46"	"251"	"161"	"58"	"72"	"193"	"105"	"231"	"162"	"351"	"495"	"93"	"197"
"2899"	"3"	"19"	"22"	"44"	"62"	"105"	"100"	"107"	"31"	"145"	"16"	"46"	"251"	"161"	"58"	"72"	"193"	"105"	"231"	"162"	"351"	"495"	"93"	"197"
"2900"	"3"	"19"	"22"	"44"	"62"	"105"	"100"	"107"	"31"	"145"	"16"	"46"	"251"	"161"	"58"	"72"	"193"	"105"	"231"	"162"	"351"	"495"	"93"	"197"
"2901"	"3"	"19"	"22"	"44"	"62"	"105"	"100"	"107"	"31"	"145"	"16"	"46"	"251"	"161"	"58"	"72"	"193"	"105"	"231"	"162"	"351"	"495"	"93"	"197"
"2898"	"3"	"19"	"22"	"44"	"62"	"105"	"100"	"107"	"31"	"145"	"16"	"46"	"251"	"161"	"58"	"72"	"193"	"105"	"231"	"162"	"351"	"495"	"93"	"197"
"8569"	"4"	"36"	"8"	"11"	"49"	"97"	"141"	"64"	"72"	"10"	"143"	"96"	"27"	"36"	"14"	"244"	"57"	"53"	"168"	"274"	"59"	"112"	"71"	"80"
"2872"	"4"	"36"	"8"	"11"	"49"	"97"	"141"	"64"	"72"	"10"	"143"	"96"	"27"	"36"	"14"	"244"	"57"	"53"	"168"	"274"	"59"	"112"	"71"	"80"
"114801"	"5"	"10"	"20"	"61"	"57"	"11"	"83"	"66"	"70"	"79"	"84"	"98"	"35"	"107"	"238"	"173"	"101"	"107"	"103"	"89"	"120"	"416"	"135"	"389"
"643418"	"7"	"14"	"16"	"19"	"10"	"8"	"12"	"10"	"4"	"7"	"7"	"9"	"108"	"266"	"139"	"126"	"134"	"204"	"205"	"417"	"448"	"26"	"188"	"299"
"133396"	"7"	"28"	"13"	"18"	"29"	"118"	"145"	"26"	"13"	"170"	"13"	"68"	"149"	"225"	"85"	"28"	"33"	"34"	"33"	"8"	"30"	"16"	"37"	"44"
"8763"	"7"	"14"	"16"	"19"	"10"	"8"	"12"	"10"	"4"	"7"	"7"	"9"	"108"	"266"	"139"	"126"	"134"	"204"	"205"	"417"	"448"	"26"	"188"	"299"
"1489"	"7"	"28"	"17"	"20"	"17"	"118"	"145"	"21"	"13"	"170"	"13"	"21"	"16"	"16"	"23"	"28"	"33"	"34"	"33"	"8"	"9"	"16"	"11"	"53"
"137196"	"7"	"14"	"16"	"19"	"10"	"8"	"12"	"10"	"4"	"7"	"7"	"9"	"108"	"266"	"139"	"126"	"134"	"204"	"205"	"417"	"448"	"26"	"188"	"299"
"54474"	"7"	"14"	"16"	"19"	"10"	"8"	"12"	"10"	"4"	"7"	"7"	"9"	"108"	"266"	"139"	"126"	"134"	"204"	"205"	"417"	"448"	"26"	"188"	"299"
"283685"	"7"	"14"	"16"	"19"	"93"	"8"	"88"	"10"	"4"	"7"	"7"	"15"	"174"	"241"	"282"	"126"	"134"	"29"	"29"	"28"	"431"	"468"	"511"	"191"
"55022"	"7"	"14"	"16"	"19"	"93"	"8"	"88"	"10"	"4"	"7"	"7"	"15"	"108"	"151"	"139"	"77"	"134"	"204"	"29"	"28"	"448"	"94"	"188"	"191"
"5013"	"7"	"14"	"16"	"19"	"10"	"8"	"12"	"10"	"4"	"7"	"7"	"9"	"108"	"266"	"139"	"126"	"134"	"204"	"205"	"417"	"448"	"26"	"188"	"299"
"9119"	"7"	"14"	"16"	"19"	"10"	"8"	"12"	"10"	"4"	"7"	"7"	"9"	"108"	"266"	"139"	"126"	"134"	"204"	"205"	"417"	"448"	"26"	"188"	"299"
"7712"	"8"	"34"	"47"	"55"	"93"	"107"	"132"	"126"	"159"	"174"	"176"	"214"	"242"	"276"	"315"	"339"	"355"	"382"	"413"	"432"	"464"	"263"	"337"	"17"
"56751"	"8"	"15"	"10"	"5"	"31"	"66"	"78"	"79"	"24"	"39"	"50"	"228"	"101"	"113"	"127"	"83"	"87"	"157"	"88"	"86"	"98"	"105"	"129"	"526"
