"A"	"B"	"nab"	"expected_nab"	"pvalue"	"adjusted_p"	"conclusion"
"MB01"	"MONDO_0007179"	69	76.0083	0.400070898633792	0.647882092655057	"No enrichment"
"MB01"	"MONDO_0016419"	68	29.4119	2.39099470710309e-10	3.42017900819656e-09	"Overenrichment"
"MB01"	"MONDO_0009282"	0	0.1983	0.81738219187947	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0009563"	10	0.6609	2.10158312190932e-10	3.02515718038294e-09	"Overenrichment"
"MB01"	"MONDO_0009711"	0	0.1983	0.81738219187947	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0007455"	90	34.9308	3.05512853897834e-16	8.11605575400325e-15	"Overenrichment"
"MB01"	"MONDO_0012173"	1	0.0661	0.0660942129769616	0.145052250437167	"No enrichment"
"MB01"	"MONDO_0021003"	35	2.9742	1.74330778618995e-29	1.01757758673545e-27	"Overenrichment"
"MB01"	"MONDO_0008233"	27	2.4455	2.2580829512961e-22	8.12166460671931e-21	"Overenrichment"
"MB01"	"MONDO_0008852"	12	1.0906	3.14828225001168e-10	4.42379210049873e-09	"Overenrichment"
"MB01"	"MONDO_0019200"	38	547.4584	1.45744162718172e-268	9.79849217043708e-266	"Underenrichment"
"MB01"	"MONDO_0019182"	66	197.9852	4.36939028091207e-33	3.34986588203259e-31	"Underenrichment"
"MB01"	"MONDO_0011679"	19	5.9485	1.14044723527967e-05	7.39978384286883e-05	"Overenrichment"
"MB01"	"MONDO_0012033"	0	0.0661	0.934996932074453	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0005090"	43	5.9815	2.14664490102029e-25	9.24220514035336e-24	"Overenrichment"
"MB01"	"MONDO_0008903"	47	24.4549	2.67235593884428e-05	0.000160414772702603	"Overenrichment"
"MB01"	"MONDO_0006277"	4	1.2227	0.0400929304417308	0.0951689875232828	"No enrichment"
"MB01"	"MONDO_0011818"	4	1.2888	0.0479212825536524	0.111658760202325	"No enrichment"
"MB01"	"MONDO_0011338"	0	0.1983	0.81738219187947	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0007103"	3	0.3966	0.00680618743743983	0.0192511579945709	"Overenrichment"
"MB01"	"MONDO_0010908"	1	0.0661	0.0660942129769616	0.145052250437167	"No enrichment"
"MB01"	"MONDO_0014461"	2	0.2644	0.0285405187571959	0.0695859304403381	"No enrichment"
"MB01"	"MONDO_0014207"	0	0.0661	0.934996932074453	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0007639"	0	8.4601	0.000177433711157637	0.000839615936934353	"Underenrichment"
"MB01"	"MONDO_0009180"	0	0.7601	0.461539320928437	0.726035576838469	"No enrichment"
"MB01"	"MONDO_0007796"	0	0.0661	0.934996932074453	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0023113"	86	30.2711	2.38461419437979e-18	6.78877135468382e-17	"Overenrichment"
"MB01"	"MONDO_0013108"	3	3.8665	0.709644554882962	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0007263"	91	68.6719	0.00652452476229985	0.0185135353028965	"Overenrichment"
"MB01"	"MONDO_0008648"	11	8.9227	0.467562829966599	0.732872871934733	"No enrichment"
"MB01"	"MONDO_0008823"	3	0.1983	0.000684784866008711	0.00277856069123312	"Overenrichment"
"MB01"	"MONDO_0008185"	0	0.7601	0.461539320928437	0.726035576838469	"No enrichment"
"MB01"	"MONDO_0007256"	27	13.4502	0.000780506582439793	0.00309230622417216	"Overenrichment"
"MB01"	"MONDO_0002629"	13	3.503	5.9105832908517e-05	0.000321859800386566	"Overenrichment"
"MB01"	"MONDO_0013664"	0	0.1322	0.8742156492151	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0008730"	0	0.1983	0.81738219187947	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0007187"	4	0.6279	0.00339936961553926	0.0106033156459005	"Overenrichment"
"MB01"	"MONDO_0011556"	2	0.5288	0.111073933687893	0.20989971468804	"No enrichment"
"MB01"	"MONDO_0007216"	4	0.2313	3.91070052718492e-05	0.000223541678270741	"Overenrichment"
"MB01"	"MONDO_0010011"	0	0.4627	0.624645467420326	0.928943574145593	"No enrichment"
"MB01"	"MONDO_0008199"	2	5.4528	0.112843574029577	0.212875639330564	"No enrichment"
"MB01"	"MONDO_0023122"	73	9.4845	4.56370802563335e-44	5.53983446444938e-42	"Overenrichment"
"MB01"	"MONDO_0001056"	44	14.9703	3.00809565962078e-10	4.25698355211435e-09	"Overenrichment"
"MB01"	"MONDO_0008170"	40	11.9961	4.37711917071248e-11	6.80712127260269e-10	"Overenrichment"
"MB01"	"MONDO_0011962"	11	2.809	0.000134287546898283	0.000662980221768975	"Overenrichment"
"MB01"	"MONDO_0007817"	2	1.1897	0.450015682251255	0.712137798818753	"No enrichment"
"MB01"	"MONDO_0014103"	2	0.2644	0.0285405187571959	0.0695859304403381	"No enrichment"
"MB01"	"MONDO_0009958"	0	0.0661	0.934996932074453	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0008093"	14	6.0807	0.00458265725178556	0.0136884567261127	"Overenrichment"
"MB01"	"MONDO_0013767"	7	5.9815	0.641339202451752	0.946841998214242	"No enrichment"
"MB01"	"MONDO_0008566"	6	2.8421	0.0890832355685247	0.173636815091192	"No enrichment"
"MB01"	"MONDO_0011285"	5	0.3966	2.64827232082107e-05	0.000159078351092619	"Overenrichment"
"MB01"	"MONDO_0008296"	3	0.2974	0.00273448047216175	0.00880271061756675	"Overenrichment"
"MB01"	"MONDO_0007379"	0	0.0661	0.934996932074453	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0019588"	68	182.42	1.5493648977193e-26	7.05283812815974e-25	"Underenrichment"
"MB01"	"MONDO_0008345"	7	1.2227	0.000205284138686205	0.000960998056838473	"Overenrichment"
"MB01"	"MONDO_0008965"	0	0.0661	0.934996932074453	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0009960"	4	2.5446	0.361436669245014	0.59638610512805	"No enrichment"
"MB01"	"MONDO_0004951"	24	7.3695	5.56915673578083e-07	4.86744298707245e-06	"Overenrichment"
"MB01"	"MONDO_0011060"	3	25.9089	1.10961837791331e-08	1.22450310895989e-07	"Underenrichment"
"MB01"	"MONDO_0007763"	26	5.6511	1.09480959933291e-10	1.63566425609738e-09	"Overenrichment"
"MB01"	"MONDO_0008667"	10	1.3219	5.59411740610533e-07	4.88437423869736e-06	"Overenrichment"
"MB01"	"MONDO_0001187"	12	5.585	0.0148790302938977	0.0388767488097656	"Overenrichment"
"MB01"	"MONDO_0007390"	2	0.9584	0.318222399026457	0.538170233647685	"No enrichment"
"MB01"	"MONDO_0009857"	0	0.0661	0.934996932074453	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0008552"	0	0.0661	0.934996932074453	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0018874"	9	14.1442	0.151208225097682	0.275095730090287	"No enrichment"
"MB01"	"MONDO_0008897"	0	0.1983	0.81738219187947	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0008297"	4	0.2974	0.000135249212353971	0.000665584524759971	"Overenrichment"
"MB01"	"MONDO_0010563"	0	0.0661	0.934996932074453	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0018138"	0	0.0661	0.934996932074453	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0011842"	2	0.5948	0.138134414887119	0.253953467840434	"No enrichment"
"MB01"	"MONDO_0005298"	15	1.388	2.51764064038569e-12	4.40965514969357e-11	"Overenrichment"
"MB01"	"MONDO_0007551"	0	0.3635	0.690929606630241	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0007550"	0	0.1322	0.8742156492151	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0018881"	7	1.2227	0.000205284138686205	0.000960998056838473	"Overenrichment"
"MB01"	"MONDO_0011628"	1	0.0661	0.0660942129769616	0.145052250437167	"No enrichment"
"MB01"	"MONDO_0010940"	7	8.0304	0.750410924936167	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0007534"	5	0.4296	4.20855668470152e-05	0.000238539464489568	"Overenrichment"
"MB01"	"MONDO_0009183"	0	0.2644	0.764240363038955	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0008679"	9	1.5863	2.70195371856508e-05	0.000162080133838427	"Overenrichment"
"MB01"	"MONDO_0006292"	0	0.3635	0.690929606630241	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0008000"	1	1.3549	0.85725646597412	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0009068"	2	4.5275	0.221806209790585	0.390607752079329	"No enrichment"
"MB01"	"MONDO_0014106"	2	0.2644	0.0285405187571959	0.0695859304403381	"No enrichment"
"MB01"	"MONDO_0009276"	0	0.1983	0.81738219187947	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0009054"	0	0.1983	0.81738219187947	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0016581"	13	2.8751	6.52408871602249e-06	4.42706020015812e-05	"Overenrichment"
"MB01"	"MONDO_0044339"	0	0.6609	0.510529739396712	0.790019462168425	"No enrichment"
"MB01"	"MONDO_0009692"	0	1.1236	0.318807738722175	0.538743162496484	"No enrichment"
"MB01"	"MONDO_0008554"	0	0.3635	0.690929606630241	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0009723"	9	1.421	1.03815014979568e-05	6.78641160001063e-05	"Overenrichment"
"MB01"	"MONDO_0009641"	7	0.6279	1.57753752365175e-06	1.24662549337398e-05	"Overenrichment"
"MB01"	"MONDO_0018911"	37	14.1772	1.82144124053845e-07	1.71360564502756e-06	"Overenrichment"
"MB01"	"MONDO_0012292"	3	2.4455	0.672872448010991	0.9638217303004	"No enrichment"
"MB01"	"MONDO_0007750"	0	0.9914	0.364723868611366	0.600996721655983	"No enrichment"
"MB01"	"MONDO_0014763"	0	0.0661	0.934996932074453	0.9638217303004	"No enrichment"
