"A"	"B"	"nab"	"expected_nab"	"pvalue"	"adjusted_p"	"conclusion"
"MB01"	"D09692"	6	2.1078	0.0118434219531581	0.0863109654668508	"No enrichment"
"MB01"	"D01514"	29	42.1567	0.0152464411684696	0.102384236065403	"No enrichment"
"MB01"	"D07961"	23	43.5619	0.000118916514121543	0.00160386554820831	"Underenrichment"
"MB01"	"D02106"	1	0.7026	0.682943180363766	0.722428445027102	"No enrichment"
"MB01"	"D00348"	3	1.2296	0.129572184715292	0.390211522222031	"No enrichment"
"MB01"	"D11138"	2	1.0539	0.355969188887623	0.60762227322422	"No enrichment"
"MB01"	"D07511"	0	3.5131	0.0206419496673214	0.125902745232019	"No enrichment"
"MB01"	"D02755"	5	2.1078	0.0542462691246172	0.227834330323392	"No enrichment"
"MB01"	"D04318"	25	31.9688	0.15381907485114	0.426453810299511	"No enrichment"
"MB01"	"D01691"	0	1.0539	0.31338265499552	0.574895077440058	"No enrichment"
"MB01"	"D01240"	5	2.1078	0.0542462691246172	0.227834330323392	"No enrichment"
"MB01"	"D09662"	12	27.4019	0.000297574529557399	0.00376927737439371	"Underenrichment"
"MB01"	"D03546"	1	0.3513	0.351305812973884	0.607359870851934	"No enrichment"
"MB01"	"D10305"	0	1.0539	0.31338265499552	0.574895077440058	"No enrichment"
"MB01"	"D11110"	0	9.8366	1.74212854248124e-05	0.000269945354737869	"Underenrichment"
"MB01"	"D04748"	0	0.3513	0.679487111214303	0.722428445027102	"No enrichment"
"MB01"	"D07871"	33	27.4019	0.228751609439177	0.489612295929718	"No enrichment"
"MB01"	"D11183"	0	0.3513	0.679487111214303	0.722428445027102	"No enrichment"
"MB01"	"D10107"	7	3.5131	0.0620567823020459	0.250107637762791	"No enrichment"
"MB01"	"D01810"	3	1.0539	0.0814952854899833	0.292942512707237	"No enrichment"
"MB01"	"D04793"	3	1.0539	0.0814952854899833	0.292942512707237	"No enrichment"
"MB01"	"D09881"	0	2.1078	0.0978902370711838	0.326164547736137	"No enrichment"
"MB01"	"D11523"	3	1.0539	0.0814952854899833	0.292942512707237	"No enrichment"
"MB01"	"D10951"	11	7.3774	0.156029883110163	0.427806092398383	"No enrichment"
"MB01"	"D05333"	0	12.647	7.21145369864118e-07	1.43271536552257e-05	"Underenrichment"
"MB01"	"D06635"	0	0.3513	0.679487111214303	0.722428445027102	"No enrichment"
"MB01"	"D04510"	0	0.3513	0.679487111214303	0.722428445027102	"No enrichment"
"MB01"	"D03584"	35	15.8088	1.10763915829544e-06	2.10170787792463e-05	"Overenrichment"
"MB01"	"D03274"	0	1.0539	0.31338265499552	0.574895077440058	"No enrichment"
"MB01"	"D09018"	0	1.0539	0.31338265499552	0.574895077440058	"No enrichment"
"MB01"	"D09385"	0	1.0539	0.31338265499552	0.574895077440058	"No enrichment"
"MB01"	"D00045"	0	2.1078	0.0978902370711838	0.326164547736137	"No enrichment"
"MB01"	"D05447"	0	5.2696	0.00292542989661859	0.0304499094456735	"Underenrichment"
"MB01"	"D08305"	0	7.3774	0.000277091458130263	0.00356643521916048	"Underenrichment"
"MB01"	"D09338"	0	19.3218	3.38963968005146e-10	1.13493669846758e-08	"Underenrichment"
"MB01"	"D02716"	6	2.1078	0.0118434219531581	0.0863109654668508	"No enrichment"
"MB01"	"D05094"	1	0.3513	0.351305812973884	0.607359870851934	"No enrichment"
"MB01"	"D09190"	0	0.3513	0.679487111214303	0.722428445027102	"No enrichment"
"MB01"	"D04821"	0	3.5131	0.0206419496673214	0.125902745232019	"No enrichment"
"MB01"	"D07165"	0	2.1078	0.0978902370711838	0.326164547736137	"No enrichment"
"MB01"	"D11214"	1	0.3513	0.351305812973884	0.607359870851934	"No enrichment"
"MB01"	"D10584"	0	1.0539	0.31338265499552	0.574895077440058	"No enrichment"
