"A"	"B"	"nab"	"expected_nab"	"pvalue"	"adjusted_p"	"conclusion"
"MB01"	"uacgam"	287	314.2065	0.098612136936149	0.147061199682058	"No enrichment"
"MB01"	"acgam1p"	12	8.1576	0.174629644342901	0.239856431824404	"No enrichment"
"MB01"	"hco3"	305	365.4022	0.000537989055019359	0.00136106321928858	"Underenrichment"
"MB01"	"thbpt"	23	11.4393	0.00130066475759524	0.00305947411637327	"Overenrichment"
"MB01"	"dhbpt"	4	1.3127	0.0429536979659194	0.0711546134522519	"No enrichment"
"MB01"	"idp"	66	73.7931	0.340251620401889	0.422531187380838	"No enrichment"
"MB01"	"f6p"	89	118.7065	0.0028463940412016	0.00625972555594453	"Underenrichment"
"MB01"	"ctp"	154	119.9254	0.00150118949904096	0.00349600391657197	"Overenrichment"
"MB01"	"itp"	80	75.8559	0.60807353662626	0.679680052156037	"No enrichment"
"MB01"	"s7p"	21	19.3156	0.669725387977285	0.731586787450453	"No enrichment"
"MB01"	"HC00361"	3	15.565	9.16217655253189e-05	0.000265690697936292	"Underenrichment"
"MB01"	"HC00664"	3	7.2199	0.0823144643318888	0.125653768350024	"No enrichment"
"MB01"	"cytd"	139	149.3676	0.37075808928632	0.453641982004232	"No enrichment"
"MB01"	"malcoa"	188	128.1768	1.35126533265345e-07	5.87346336492595e-07	"Overenrichment"
"MB01"	"lpam"	134	57.2904	8.77681078665971e-21	1.27270131813917e-19	"Overenrichment"
"MB01"	"HC00682"	22	3.9381	2.04386425668879e-12	1.50187659637519e-11	"Overenrichment"
"MB01"	"pail_hs"	606	554.4325	0.0190861609266749	0.0347010992301441	"Overenrichment"
"MB01"	"acgpail_hs"	39	53.5398	0.0306083074124681	0.0526835176845976	"No enrichment"
"MB01"	"lac__L"	144	207.7832	8.27160149191179e-07	3.26072716000272e-06	"Underenrichment"
"MB01"	"phpyr"	96	54.1024	4.23889426771069e-08	1.94976113598048e-07	"Overenrichment"
"MB01"	"acetone"	30	32.2552	0.692582633386486	0.751865075377042	"No enrichment"
"MB01"	"lac__D"	62	113.8307	2.91433551660097e-08	1.36674804556146e-07	"Underenrichment"
"MB01"	"camp"	271	128.5518	2.98050365082248e-32	8.48366932701791e-31	"Overenrichment"
"MB01"	"ficytC"	26	176.6533	8.25104023144087e-50	4.97121023521661e-48	"Underenrichment"
"MB01"	"o2s"	22	71.824	1.07189482135465e-12	8.10116570687625e-12	"Underenrichment"
"MB01"	"dopa"	162	241.4449	9.97814882031865e-09	4.94187377233909e-08	"Underenrichment"
"MB01"	"ptrc"	96	77.9187	0.0353304146449941	0.0597939261928278	"No enrichment"
"MB01"	"fald"	116	118.894	0.78842123357826	0.833061724840417	"No enrichment"
"MB01"	"mhista"	21	30.7549	0.055530323135664	0.0893450107986848	"No enrichment"
"MB01"	"trypta"	11	17.9091	0.074741169508442	0.115589793397417	"No enrichment"
"MB01"	"bamppald"	46	78.2938	3.91684532966992e-05	0.000120650904680416	"Underenrichment"
"MB01"	"hista"	77	81.4818	0.608999953896285	0.680367668524805	"No enrichment"
"MB01"	"mma"	23	32.724	0.0651678290811139	0.1026018967351	"No enrichment"
"MB01"	"sprm"	13	13.5959	0.89558441924179	0.919442515506434	"No enrichment"
"MB01"	"3mldz"	30	50.5393	0.00121613664569722	0.00287987312920186	"Underenrichment"
"MB01"	"im4act"	33	56.0715	0.000543616547670052	0.00137390731798042	"Underenrichment"
