D00043	Isoflurophate
D00045	Adenosine (JAN/USP) &lt;JP/US&gt;
D00058	gamma-Aminobutyric acid (JAN) &lt;JP&gt;
D00059	Levodopa (JP17/USP/INN) &lt;JP/US&gt;
D00064	l-Menthol (JP17) &lt;JP&gt;
D00066	Progesterone (JP17/USP/INN) &lt;JP/US&gt;
D00067	Estrone (JAN/USP/INN)
D00073	Hydroquinone (USP)
D00075	Testosterone (JAN/USP) &lt;US&gt;
D00076	Noradrenaline (JP17) &lt;JP&gt;
D00079	Dinoprostone (JAN/USP/INN) &lt;JP/US&gt;
D00081	Dinoprost (JP17/USAN/INN) &lt;JP&gt;
D00085	Insulin (JAN/USP)
D00087	Ubenimex (JP17/INN) &lt;JP&gt;
D00088	Hydrocortisone (JP17/USP/INN) &lt;JP/US&gt;
D00089	Oxytocin (JP17/USP/INN) &lt;JP/US&gt;
D00094	Tretinoin (JAN/USP/INN) &lt;JP/US&gt;
D00095	Epinephrine (USP/INN) &lt;JP/US&gt;
D00101	Vasopressin (JP17/USP) &lt;JP/US&gt;
D00105	Estradiol (JAN/USP/INN) &lt;JP/US&gt;
D00106	Epoprostenol (USAN/INN)
D00107	Tacrolimus (USP/INN) &lt;JP/US&gt;
D00109	Aspirin (JP17/USP) &lt;JP&gt;
D00110	Cocaine (USP)
D00112	G-Strophanthin (JAN)
D00113	Atropine (USP)
D00116	Glucagon (JAN/USP/INN) &lt;JP/US&gt;
D00118	Naproxen (JP17/USP/INN) &lt;JP/US&gt;
D00120	Sulindac (JP17/USP/INN) &lt;JP/US&gt;
D00122	Calcifediol (USP/INN) &lt;US&gt;
D00123	Cyanamide (JP17) &lt;JP&gt;
D00124	Ephedrine (USP)
D00125	Etoposide (JP17/USP/INN) &lt;JP/US&gt;
D00126	Ibuprofen (JP17/USP/INN) &lt;JP/US&gt;
D00127	Piroxicam (JP17/USP/INN) &lt;JP/US&gt;
D00129	Calcitriol (JAN/USP/INN) &lt;JP/US&gt;
D00130	Diflunisal (JAN/USP/INN) &lt;US&gt;
D00131	Disulfiram (JP17/USP/INN) &lt;JP/US&gt;
D00132	Ketoprofen (JP17/USP/INN) &lt;JP/US&gt;
D00136	Haloperidol (JP17/USP/INN) &lt;JP/US&gt;
D00138	Scopolamine (INN) &lt;US&gt;
D00141	Indomethacin (USP) &lt;JP/US&gt;
D00142	Methotrexate (JP17/USP/INN) &lt;JP/US&gt;
D00146	Corticotropin (USP/INN) &lt;US&gt;
D00147	Hyoscyamine (USP)
D00150	Angiotensin II (INN)
D00151	Mefenamic acid (JP17/USP/INN) &lt;JP/US&gt;
D00152	Phloroglucinol (JAN)
D00153	Testolactone (USP/INN)
D00155	Pentostatin (JAN/USAN/INN) &lt;JP/US&gt;
D00156	Glycyrrhetinic acid (JAN) &lt;JP&gt;
D00158	Tolmetin sodium (JAN/USP) &lt;US&gt;
D00160	Aminocaproic acid (USP/INN) &lt;US&gt;
D00161	Mercaptopurine (USP) &lt;JP/US&gt;
D00163	Chenodiol (USAN) &lt;JP/US&gt;
D00164	Retinol palmitate (JP17) &lt;JP/US&gt;
D00165	Hydrocortisone acetate (JP17/USP) &lt;US&gt;
D00169	Meclofenamate sodium (USP) &lt;US&gt;
D00176	Protirelin (JP17/USAN/INN) &lt;JP&gt;
D00180	Alprostadil (JP17/USP/INN) &lt;JP/US&gt;
D00181	Argatroban (USP) &lt;JP/US&gt;
D00182	Norethindrone (USP) &lt;JP/US&gt;
D00184	Cyclosporine (USP) &lt;JP/US&gt;
D00185	Estriol (JP17/USP) &lt;JP&gt;
D00187	Ergocalciferol (JP17/USP) &lt;US&gt;
D00188	Cholecalciferol (JP17/USP)
D00193	Dexpanthenol (USP/INN) &lt;JP&gt;
D00195	Codeine (USP)
D00196	Physostigmine (USP)
D00197	Reserpine (JP17/USP/INN)
D00199	Ajmaline (JP17)
D00216	Acarbose (JAN/USAN/INN) &lt;JP/US&gt;
D00217	Acetaminophen (JP17/USP) &lt;JP/US&gt;
D00218	Acetazolamide (JP17/USP/INN) &lt;JP/US&gt;
D00219	Acetohexamide (JP17/USP/INN) &lt;JP&gt;
D00224	Allopurinol (JP17/USP/INN) &lt;JP/US&gt;
D00225	Alprazolam (JP17/USP/INN) &lt;JP/US&gt;
D00227	Aminophylline (USP/INN)
D00228	Amoxapine (JP17/USP/INN) &lt;JP/US&gt;
D00231	Inamrinone (USP)
D00232	Anisotropine methylbromide (USAN)
D00234	Astemizole (JAN/USP/INN)
D00235	Atenolol (JP17/USP/INN) &lt;JP/US&gt;
D00241	Baclofen (JP17/USP/INN) &lt;JP/US&gt;
D00244	Betamethasone (JP17/USP/INN) &lt;JP&gt;
D00246	Budesonide (JAN/USP/INN) &lt;JP/US&gt;
D00247	Bumetanide (JP17/USP/INN) &lt;JP/US&gt;
D00249	Calcitonin salmon (JP17/USP/INN) &lt;US&gt;
D00250	Capsaicin (JAN/USP) &lt;US&gt;
D00251	Captopril (JP17/USP/INN) &lt;JP/US&gt;
D00252	Carbamazepine (JP17/USP/INN) &lt;JP/US&gt;
D00255	Carvedilol (JP17/USP/INN) &lt;JP/US&gt;
D00267	Chlordiazepoxide (JP17/USP/INN) &lt;JP&gt;
D00269	Chlorotrianisene (INN)
D00270	Chlorpromazine (USP/INN)
D00271	Chlorpropamide (JP17/USP/INN) &lt;JP&gt;
D00272	Chlorthalidone (USP) &lt;US&gt;
D00274	Cisapride (USP/INN)
D00279	Clofibrate (JP17/USP/INN) &lt;JP&gt;
D00280	Clonazepam (JP17/USP/INN) &lt;JP/US&gt;
D00281	Clonidine (JAN/USP/INN) &lt;US&gt;
D00283	Clozapine (JAN/USP/INN) &lt;JP/US&gt;
D00284	Cosyntropin (USP) &lt;US&gt;
D00289	Danazol (JP17/USP/INN) &lt;JP/US&gt;
D00291	Desmopressin (INN)
D00292	Dexamethasone (JP17/USP/INN) &lt;JP/US&gt;
D00293	Diazepam (JP17/USP/INN) &lt;JP/US&gt;
D00294	Diazoxide (JAN/USP/INN) &lt;JP/US&gt;
D00295	Cimetidine (JP17/USP/INN) &lt;JP/US&gt;
D00297	Digitoxin (JAN/USP/INN)
D00298	Digoxin (JP17/USP) &lt;JP/US&gt;
D00299	Dihydrotachysterol (JAN/USP/INN)
D00300	Diphenhydramine (JP17/INN) &lt;JP&gt;
D00302	Dipyridamole (JP17/USP/INN) &lt;JP/US&gt;
D00303	Disopyramide (JP17/USAN/INN) &lt;JP&gt;
D00304	Divalproex sodium (USP) &lt;US&gt;
D00306	Dronabinol (USP/INN) &lt;US&gt;
D00308	Droperidol (JP17/USP/INN) &lt;JP/US&gt;
D00311	Estazolam (JP17/USP/INN) &lt;JP/US&gt;
D00312	Estrone sodium sulfate
D00313	Ethacrynic acid (USP) &lt;US&gt;
D00315	Etodolac (JP17/USP/INN) &lt;JP/US&gt;
D00316	Etretinate (JAN/USAN/INN) &lt;JP&gt;
D00318	Famotidine (JP17/USP/INN) &lt;JP/US&gt;
D00319	Felodipine (JP17/USP/INN) &lt;JP/US&gt;
D00320	Fentanyl (JAN/USP/INN) &lt;JP/US&gt;
D00321	Finasteride (JAN/USP/INN) &lt;JP/US&gt;
D00324	Flunisolide (JAN/USP) &lt;US&gt;
D00325	Fluocinonide (JP17/USP/INN) &lt;JP/US&gt;
D00326	Fluoxetine (USAN/INN)
D00327	Fluoxymesterone (JAN/USP/INN) &lt;US&gt;
D00328	Flurandrenolide (USP) &lt;JP/US&gt;
D00329	Flurazepam (JAN/INN)
D00330	Flurbiprofen (JP17/USP/INN) &lt;JP/US&gt;
D00331	Furosemide (JP17/USP/INN) &lt;JP/US&gt;
D00332	Gabapentin (JAN/USP/INN) &lt;JP/US&gt;
D00334	Gemfibrozil (JAN/USP/INN) &lt;US&gt;
D00335	Glipizide (USP/INN) &lt;US&gt;
D00336	Glyburide (USP) &lt;JP/US&gt;
D00338	Halazepam (USAN/INN)
D00340	Hydrochlorothiazide (JP17/USP/INN) &lt;JP/US&gt;
D00341	Hydroxyurea (USP) &lt;JP/US&gt;
D00345	Indapamide (JP17/USP) &lt;JP/US&gt;
D00348	Isotretinoin (USP) &lt;US&gt;
D00349	Isradipine (USP/INN) &lt;US&gt;
D00354	Lamotrigine (JAN/USP/INN) &lt;JP/US&gt;
D00355	Lansoprazole (JP17/USP/INN) &lt;JP/US&gt;
D00356	Latanoprost (JAN/USP/INN) &lt;JP/US&gt;
D00357	Losartan potassium (JP17/USP) &lt;JP/US&gt;
D00358	Lidocaine (JP17/USP/INN) &lt;JP/US&gt;
D00359	Lovastatin (USP/INN) &lt;US&gt;
D00362	Lisinopril (USP) &lt;JP/US&gt;
D00364	Loratadine (JAN/USP/INN) &lt;JP&gt;
D00365	Lorazepam (JP17/USP/INN) &lt;JP/US&gt;
D00366	Lypressin (USAN/INN)
D00367	Mazindol (JAN/USP/INN) &lt;JP&gt;
D00370	Temazepam (USP/INN) &lt;US&gt;
D00371	Theophylline (JP17) &lt;JP/US&gt;
D00373	Thioridazine (USP/INN)
D00374	Thiothixene (USP) &lt;US&gt;
D00375	Mephenytoin (USP/INN)
D00376	Meprobamate (JAN/USP/INN) &lt;US&gt;
D00378	Timolol (USAN) &lt;US&gt;
D00379	Tolazamide (JAN/USP/INN)
D00380	Tolbutamide (JP17/USP/INN) &lt;US&gt;
D00382	Torsemide (USP) &lt;JP/US&gt;
D00383	Trandolapril (JAN/USP/INN) &lt;JP/US&gt;
D00385	Triamcinolone (JP17/USP/INN) &lt;JP&gt;
D00386	Triamterene (JP17/USP/INN) &lt;JP/US&gt;
D00387	Triazolam (JAN/USP/INN) &lt;JP/US&gt;
D00389	Metandienone (INN)
D00390	Triflupromazine (USP/INN)
D00394	Trimipramine (USAN/INN)
D00395	Troglitazone (JAN/USAN/INN)
D00397	Tropicamide (JP17/USP/INN) &lt;JP/US&gt;
D00399	Valproic acid (USP) &lt;US&gt;
D00400	Valsartan (JP17/USP/INN) &lt;JP/US&gt;
D00401	Methimazole (USP) &lt;JP/US&gt;
D00403	Methotrimeprazine (USP)
D00404	Methsuximide (USP) &lt;US&gt;
D00405	Methyldopa (USP) &lt;JP/US&gt;
D00407	Methylprednisolone (JP17/USP/INN) &lt;JP/US&gt;
D00408	Methyltestosterone (JP17/USP/INN) &lt;US&gt;
D00410	Metyrapone (JP17/USP/INN) &lt;JP/US&gt;
D00411	Zafirlukast (JAN/USAN/INN) &lt;US&gt;
