GeneSymbol;entry_name;MB278;MB282;MB275;MB247;MB091;MB234;MB199;MB136;MB288;Burdenko_1360;MB226;MB118;MB166;MB239;MB102;MB271;MB177;MB037;MB265;MB170;MB244;MB260;MB274;MB264;MB268;MB095;MB227;MB269;MB088;MB281;MB284;MB174;MB277;MB164;x5M15;MB287;MB099;MB266;MB104;MB248;x1M6;MB106;MB270;MB018;MB206
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;6,523332802;5,933919101;6,780344938;7,281551609;5,224980759;6,682164268;7,031566168;1,680437278;7,241635369;0,76950598;1,092935818;0,204104418;0,670146214;-1,687730221;-1,281637668;0,960849067;-0,432673332;0,850444871;-0,007752767;0,116738785;-0,410585205;-0,210509855;-0,629189141;0,12201154;-0,478197438;0,137209041;0,121408337
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;-2,705412233;-0,586997854;2,090025446;-2,343326845;0,331068724;-1,449207053;2,140343271;-0,371433485;1,49010107;-0,941828783;-1,72529007;-0,948502631;0,506813617;-1,416194759;-0,077338226;-1,49182947;1,064447538;-0,960281421;-0,556073377;-0,896299578;-0,20081161;-1,646789461;-0,817564557;1,751986731;0,983632358;-1,085553797;1,268294774;2,187696116;0,513276799;-1,044852419;-2,19616798;-0,652442027;-2,01821104;1,982383338;-0,925301397;0,666887804;-1,794211872;-0,836246462;-1,362530242;1,267355249;-0,682879948;0,146688031;-1,51286504;1,442861389;1,462895514
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0,753125971;-0,388366286;-1,393162136;-0,124587465;NaN;-1,911057152;-1,046897716;0,974906344;-1,533342327
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;-17,41957228;1,552480629;-18,04552628;NaN;NaN;NaN;-0,556860498;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0,242816673;0,375770775;-2,378965404;0,305204353;-1,46924733;-1,915090768;-0,068270855;-0,34274123;0,598461205;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,09909944;NaN;-0,576478821;0,468991706;NaN;0,759436024;0,064592117;0,969782169;NaN;0,446201579;NaN;NaN;-0,3169738;NaN;1,55772374;2,706649661;-0,319876519;1,178782916;1,27156171;-18,3250486;NaN;-0,761381679;NaN;NaN;2,237766906;0,488631084;0,104269103;0,27577701;0,174726679;NaN;0,976651163;1,068782621;1,407930915;-0,056258522;3,067705296;0,530599397
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;-1,972037055;0,826795125;-2,749794482;-0,51266239;-1,374715102;1,037325539;-1,512968533;0,796642629;NaN;-12,68728403;-1,190897747;0,098336971;NaN;-0,049445751;-0,535369277;0,673952888;-0,340345062;NaN;NaN;0,243336421;NaN;NaN;2,205669246;1,924853554;-0,400931203;2,726959837;1,94605247;-0,356804426;0,128410064;NaN;-0,809789797;NaN;2,380629991;-0,844362506;0,371458679;NaN;-1,435963359;-1,701837384;-1,527986498;NaN;-1,407930915;-1,936026967;0,963351898;-1,399943043
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-1,347873981;-0,872107396;-0,041824318;1,059709473;-0,289147365;-0,622395945;-1,133731521;0,551724775;0,377714825
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1,29953921;0,009064303;-0,05197477;-0,263899117;0,510048797;0,282344969;2,087344509;0,374877911;1,679292882;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;0,133408313;-0,33989668;2,351118644;0,384643871;0,480543783;0,990065753;0,574424746;0,90221831;0,946866668;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0,584151726;-0,046387902;0,120486966;0,962715773;0,619676772;-0,244940294;0,979544535;0,154872342;-0,277360686;-0,02697963;-0,482456483;-1,52334887;-0,255242075;-0,906002447;-0,325144531;-0,080913606;-0,362726142;0,463780281;-1,867309393;-1,010973141;-0,286879476;0,621505286;-0,046420177;-0,152171696;-1,326967315;0,233977523;-0,686481706
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1,653968645;1,80654467;0,815065988;1,481490171;NaN;1,065926894;2,678998912;0,560576765;2,001749549;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0,09217023;0,13596454;0,048431035;1,416799169;-0,474744873;-0,429550466;1,027576453;1,102922658;-0,316443328;0,977131831;1,474633576;1,047555789;0,737486676;0,826827454;0,448257509;0,652365945;0,277790268;1,693286786;0,645694766;-0,037386931;-0,098375508;1,566651573;1,157148741;1,306483117;-0,881791183;0,541614636;-0,10941739
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2,716885403;0,452681941;0,802065194;0,00884578;1,256076456;2,34201532;2,666793389;1,118844114;2,083987337;1,843999085;1,554055159;0,258171814;0,450746643;-1,210675836;0,141001188;1,797799175;2,069437575;1,269693555;-1,603715303;-1,008684145;0,346965116;0,515534338;-1,024040282;1,132376763;-0,317982951;0,049106394;-0,388206904
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;-1,319817217;1,365619811;-0,893410409;-2,294009781;-1,732276469;-0,232214259;-1,048242082;0,154776282;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1,857443784;-0,614773001;0,394535751;0,132686707;NaN;-0,583995577;0,562586611;-1,673200253;-0,283664338;-1,447515821;-0,061640632;-1,562547731;-0,663629395;-1,027270473;-6,274552884;-0,883728287;NaN;0,28782617;-1,415433811;-1,185699819;-1,893875801;-0,350849758;-0,902117409;-2,591031576;-1,92991191;-0,473732268;-1,049207848
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0,696622488;0,268535573;0;-0,33597754;0,536611433;0,749254887;0,206438808;0,236224366;NaN;-0,927277139;NaN;NaN;-0,822902859;0,197748427;NaN;-0,228192201;-0,800004692;NaN;-0,613664939;-0,162920473;0,94609105;0,227285498;-0,06700658;-0,077941154;1,467370396;0,66784553;NaN;NaN;2,381482236;0,637019051;0,363292787;-0,529563915;1,637842658;2,497114678
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-1,890405323;-0,603042726;-1,260388162;-1,742618749;NaN;-1,462402148;-0,660694358;-2,761648861;-1,023713078;1,906169538;-1,384543422;-0,406857152;-0,976436703;0,870924918;-1,213241569;0,997513044;0,038970577;1,813847936;-0,671168145;-0,399811265;0,384665909;1,235850372;0,064317112;0,313939805;-1,697539754;-0,203647103;-0,379213694
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,577414519;NaN;0,210461402;0,045959776;1,977753208;0,35770328;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0,493844539;0,663822189;-0,72990984;-0,081460237;-0,62738665;-7,083731346;1,00130587;-2,047454172;1,018796026;NaN;NaN;NaN;2,686506719;0,477065189;1,014477972;NaN;2,608416085;NaN
MAP1B; microtubule-associated protein 1B isoform 1 GN=MAP1B;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0,125151816;NaN;NaN;2,874103937;1,085560998;2,100243584;-0,359565337;3,359455046;0,524603924
