"","MB01","MB02","MB03","MB14","MB19","MB47","MB50","MB51","MB52","MB53","MB04","MB05","MB06","MB24","MB25","MB40","MB43","MB46","MB49","MB55","MB08","MB09","MB10","MB16","MB17","MB22","MB07","MB13","MB15","MB20","MB39","MB48","MB54","MB21","MB30","MB31","MB33","MB34"
"CNOT1",0.188263,0.754668,0.353145,0.704056,0.274332,0.550643,0.31195,0.188652,0.427106,0.312634,0.389401,0.799711,0.335511,0.734755,0.195144,0.168393,0.485723,0.517506,0.924472,0.0643066,0.128268,0.562692,0.0458413,0.300035,0.425019,0.301964,0.307551,0.0227639,0.913537,0.38327,-0.0732156,0.42258,0.27202,0.0632156,0.411736,0.608114,-0.278399,0.5225
"FTO",1.19397,1.68634,1.18682,1.15286,0.0667274,1.69795,1.60879,0.87052,0.924829,0.54276,1.31099,1.74912,1.39024,1.10448,1.42293,0.753329,1.23191,1.12962,0.889589,1.46099,1.38929,1.52662,1.2859,1.95534,1.23941,1.21798,1.1704,0.227283,2.0238,2.19934,1.54699,1.2607,1.14411,0.825801,0.678831,1.49088,1.57773,1.14836
"ANKY2",-1.15865,1.43453,-0.126182,-0.170759,0.667294,1.55843,0.738892,0.271395,-0.126406,0.468612,1.04299,0.271207,0.297065,-0.886644,0.0877325,-0.0039048,0.396643,0.383157,0.385623,0.643497,1.4463,1.96969,1.56205,1.16588,1.50618,1.36904,0.936934,1.5276,2.17248,NA,1.65949,1.4054,1.18472,-0.133293,NA,NA,0.620934,0.411842
"NUFP2",-0.981538,-1.49321,0.00863448,0.0166095,0.0363685,-0.336495,0.0351968,0.149947,-0.842467,-0.376407,-1.08957,-1.29849,-2.39459,-1.97302,-1.32645,-1.27052,-2.03452,-1.40227,-1.52255,-1.50916,-1.30616,-0.916878,-1.31043,-0.288379,-1.63384,-1.06534,-0.689835,-0.877569,-0.211454,-0.571371,-2.02026,-1.28303,-0.439976,-1.08173,-0.784481,-0.859013,-0.98918,-1.17785
"K1211",2.24846,2.91451,2.00567,2.59185,2.50698,NA,4.49825,3.2566,3.03544,2.58032,2.85601,2.7801,3.19154,3.87539,2.29792,2.92388,3.31916,3.3113,3.27994,3.11458,4.08269,3.30018,3.73849,4.0887,4.31042,4.10911,3.97601,3.26436,4.10128,3.80238,4.26103,5.23314,2.909,3.9119,3.70953,3.58905,3.86829,2.44596
"UGPA",-1.77078,0.0441172,-1.47078,-1.05131,0.182895,-0.0515502,-1.07042,-1.33709,-0.655434,-0.819788,-0.331465,0.651697,0.557314,0.0755098,0.561729,0.228253,0.951537,0.52841,-0.553721,-0.00166591,-0.10385,0.466776,0.156044,-0.417328,-0.03911,0.0271114,0.286629,0.694334,0.987211,0.194642,0.0100427,0.394301,0.19406,-0.875982,-1.06857,-0.976899,-0.294902,-0.792767
"CLP1L",-0.123709,-0.240926,-0.741203,-1.11932,0.489424,0.874856,-0.215736,-0.744799,-0.636149,-1.64708,-2.18595,-0.389556,-1.0768,-1.09462,-1.49505,3.28732,-1.76116,-0.649394,-1.81187,-1.53371,0.813824,1.04126,0.73215,0.456172,0.44955,0.421917,1.17566,0.0429358,1.68743,1.10963,0.48387,2.20459,2.79895,-0.743155,-0.367467,-0.00668752,-0.890292,-0.183168
"ANS1A",0.573686,0.564289,0.264643,0.329236,-0.0668178,0.375896,NA,0.497827,0.911921,1.57932,-0.282177,-0.524346,0.112215,-0.0449759,0.377428,0.343339,0.370301,0.546607,1.22268,0.0275695,-0.342337,0.69485,0.0413947,0.0263832,0.593564,0.0646496,0.0523453,0.0358382,NA,0.660743,0.138657,0.388161,0.673635,-0.334357,-0.296278,-1.03715,-0.682038,-0.268112
"TPD52",1.1621,0.116646,1.93972,0.393304,-1.4319,-2.47977,1.28597,0.783413,0.832648,0.38807,0.185058,0.780576,-0.373122,-0.632049,-1.65318,1.94861,-2.01548,1.56246,-0.941408,-1.08926,-2.90168,-3.31734,-2.37573,-1.78066,-3.82305,-2.13033,-3.47572,-0.67247,NA,NA,-0.0740989,-0.0868798,-3.26731,-1.6796,-3.10446,-1.96207,-1.39605,-0.235845
"DNJC2",0.270686,-2.07194,-0.500587,-0.863175,-0.979764,-2.09429,-1.52606,-1.31643,-1.39396,-1.78137,-2.76645,-0.227916,-2.12359,-2.1814,-2.66559,-2.38034,-1.86033,-0.950001,-1.80313,-2.38386,-2.21827,-2.52997,-2.214,-2.70695,-2.3394,-2.02061,-2.62847,-3.58864,-1.65244,-1.98247,-2.45768,-2.14632,-1.75552,-2.08636,-1.38889,-1.46772,-2.31236,-1.90434
